group,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32
1,0.027365878,0.020964156,0.030318978,0.006326744,0.009769956,0.006111589,0.0041958,0.001655667,0.0141715,0.001932756,0.005520422,0.013660111,0.003530156,0.010403978,0.002899,0.005156633,0.007628233,0.009780856,0.003675111,0.008707833,0.004904778,0.002878778,0.008661078,0.004753844,0.0089748,0.006949433,0.010492689,0.014216344,0.0136321,0.005425233,0.005382078,0.005324511
1,0.030570378,0.024595256,0.0348582,0.007646667,0.006656,0.005780144,0.005246544,0.001795256,0.015659722,0.002062378,0.005901167,0.032010378,0.004164411,0.012056544,0.005641467,0.005935789,0.008395867,0.011082256,0.004471444,0.010338133,0.006196833,0.002797278,0.011611556,0.005889289,0.011012722,0.008489211,0.011759967,0.015291667,0.015524911,0.007505511,-0.0025236,0.006087111
1,0.019485378,0.015299411,0.021336889,0.005589256,0.049587322,0.009789711,0.004212933,0.001389189,0.0119868,0.003971367,0.008170844,0.010670144,0.003759178,0.008806344,0.007318711,0.006071244,0.0082715,0.010329211,0.004246267,0.008494322,0.005393722,0.004611278,0.012765989,0.005036456,0.008331644,0.007582367,0.008674333,0.012851422,0.011821811,0.007061389,0.047284825,0.005464378
1,0.0285355,0.022469956,0.031785989,0.007227067,0.016191733,0.007608767,0.0049051,0.001767278,0.015290267,0.002888222,0.006185867,0.015362289,0.0040545,0.011318067,0.003951978,0.006105656,0.008653911,0.011648722,0.004548767,0.010388833,0.006168822,0.003574411,0.010656389,0.005617389,0.0103208,0.008223822,0.011549533,0.015099822,0.015161578,0.006876789,0.010390022,0.006348633
1,0.010839122,0.008673244,0.012135022,0.002918322,-0.001282933,0.002217678,0.001899111,0.000700678,0.0057808,0.000752922,0.001942656,0.005575844,0.001566856,0.004568767,0.000786933,0.002197422,0.003193811,0.004270144,0.001683256,0.004078356,0.0024192,0.0010341,0.003355722,0.002124522,0.004000689,0.002648067,0.004712756,0.005657022,0.005704467,0.002421333,-0.0027172,0.002444422
1,0.023673178,0.019081722,0.026415089,0.006570533,0.023467011,0.007898856,0.004568144,0.001589133,0.013452644,0.003371044,0.006027678,0.012887211,0.003825811,0.010037844,0.004751289,0.005883744,0.008208278,0.011074278,0.004436933,0.009683789,0.005957822,0.003811022,0.010730089,0.005260767,0.009368856,0.007784489,0.010320144,0.013533289,0.013429722,0.006792378,0.014993444,0.005916311
1,0.016579933,0.0130793,0.018619867,0.0040777,-0.002497711,0.003036378,0.002495089,0.001045844,0.008339956,0.000623067,0.002597889,0.007802244,0.002073811,0.006302256,0.000553133,0.003011733,0.004319856,0.006025611,0.0022351,0.005869633,0.003293833,0.001288933,0.004602278,0.002986856,0.005569944,0.003947789,0.006549789,0.008026367,0.008168667,0.002994544,-0.003686589,0.003282989
1,0.014988311,0.012023433,0.017130333,0.003676533,-0.013583844,-0.0004623,0.001980444,0.000860067,0.0071128,-0.000241222,0.001383067,0.006821767,0.001603089,0.005534744,-0.001718422,0.002158767,0.003230622,0.0048695,0.001769167,0.005083656,0.002710656,0.000216811,0.002307333,0.002389633,0.004653267,0.003329544,0.005948133,0.006466711,0.007025367,0.002144889,-0.013276644,0.002776822
1,0.012738511,0.009875056,0.014369278,0.002989111,-0.009801267,0.000474089,0.001685322,0.000783811,0.006015167,-0.0001705,0.001321422,0.0057364,0.001364,0.004657378,-0.001093756,0.001846167,0.002795822,0.003985756,0.001458278,0.0042436,0.002269856,0.000400178,0.002090533,0.001968267,0.003918833,0.002476567,0.004892467,0.005518011,0.005838056,0.001653256,-0.009930056,0.002156467
1,0.039885011,0.029972456,0.043419233,0.009278256,0.025580311,0.010673578,0.006173967,0.002275089,0.020045689,0.003851411,0.008246311,0.020524178,0.0050827,0.0144939,0.005326756,0.007840289,0.011098856,0.015789278,0.006137144,0.014086778,0.008403111,0.004660922,0.013552478,0.007208422,0.013141367,0.011934056,0.0147028,0.019262467,0.019742989,0.008683722,0.014320144,0.007666578
